Marcatemporal,EDAD,SEXO,estudios,TIPOTRABAJO,FUNCIONDESARROLLADA,GestionaEquipos,NumeroPersonas
2020/06/13 12:13:39 p. m. GMT,52,Mujer,Bachiller / Secundaria,Opositora,Opositora,Sí,+ de 20 personas
2020/06/13 12:17:04 p. m. GMT,45,Mujer,Estudios universitarios,"Cuenta propia (autónomo, emprendedor)",Autónoma ,No,
2020/06/13 12:30:47 p. m. GMT,59,Mujer,Formación Profesional,Desempleado/a,Empleado,No,
2020/06/13 12:49:04 p. m. GMT,41,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Puesto intermedio,Sí,6-10 personas
2020/06/13 1:09:18 p. m. GMT,45,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Empleado,Sí,6-10 personas
2020/06/13 1:30:45 p. m. GMT,40,Mujer,Formación Profesional,Funcionario/a,Empleado,No,
2020/06/13 1:42:37 p. m. GMT,42,Mujer,Formación Profesional,Cuenta ajena,Empleado,No,
2020/06/13 3:31:02 p. m. GMT,42,Mujer,Formación Profesional,Cuenta ajena,Empleado,No,
2020/06/13 3:31:44 p. m. GMT,42,Hombre,Estudios universitarios,Funcionario/a,Empleado,No,
2020/06/13 3:51:35 p. m. GMT,34,Hombre,Estudios universitarios,Funcionario/a,Empleado,Sí,1-5 personas
2020/06/13 4:52:51 p. m. GMT,40,Mujer,Formación Profesional,Funcionario/a,Empleado,No,
2020/06/13 5:21:53 p. m. GMT,51,Hombre,Postgrado / Máster / Doctorado,Cuenta ajena,Gerencia,Sí,+ de 20 personas
2020/06/13 5:28:39 p. m. GMT,28,Mujer,Postgrado / Máster / Doctorado,Funcionario/a,Puesto intermedio,Sí,6-10 personas
2020/06/13 5:29:35 p. m. GMT,51,Hombre,Postgrado / Máster / Doctorado,Cuenta ajena,Gerencia,Sí,+ de 20 personas
2020/06/13 6:35:06 p. m. GMT,49,Hombre,Formación Profesional,Funcionario/a,Empleado,Sí,+ de 20 personas
2020/06/13 7:16:55 p. m. GMT,56,Hombre,Estudios universitarios,Desempleado/a,Gerencia,Sí,+ de 20 personas
2020/06/13 9:46:07 p. m. GMT,40,Mujer,Estudios universitarios,Cuenta ajena,Puesto intermedio,Sí,1-5 personas
2020/06/14 5:09:45 a. m. GMT,31,Mujer,Postgrado / Máster / Doctorado,Desempleado/a,Empleado,Sí,1-5 personas
2020/06/14 5:20:33 a. m. GMT,38,Hombre,Formación Profesional,"Cuenta propia (autónomo, emprendedor)",Gerencia,Sí,1-5 personas
2020/06/14 9:02:33 a. m. GMT,40,Mujer,Estudios universitarios,Cuenta ajena,Puesto directivo,Sí,6-10 personas
2020/06/14 9:52:13 a. m. GMT,54,Hombre,Postgrado / Máster / Doctorado,Cuenta ajena,Puesto directivo,Sí,+ de 20 personas
2020/06/14 11:21:16 a. m. GMT,43,Mujer,Estudios universitarios,Cuenta ajena,Empleado,No,
2020/06/14 1:34:36 p. m. GMT,42,Mujer,Estudios universitarios,"Cuenta propia (autónomo, emprendedor)",Gerencia,Sí,11-20 personas
2020/06/14 7:01:55 p. m. GMT,51,Mujer,Formación Profesional,Cuenta ajena,Puesto intermedio,Sí,1-5 personas
2020/06/14 7:11:18 p. m. GMT,44,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Empleado,Sí,1-5 personas
2020/06/14 8:37:24 p. m. GMT,31,Mujer,Postgrado / Máster / Doctorado,Desempleado/a,Gerencia,Sí,+ de 20 personas
2020/06/14 11:10:14 p. m. GMT,42,Mujer,Estudios universitarios,"Cuenta propia (autónomo, emprendedor)",Gerencia,Sí,11-20 personas
2020/06/15 5:24:27 a. m. GMT,43,Mujer,Estudios universitarios,Cuenta ajena,Empleado,No,
2020/06/15 6:12:11 a. m. GMT,49,Prefiero no decirlo,Postgrado / Máster / Doctorado,Cuenta ajena,Puesto directivo,Sí,11-20 personas
2020/06/15 8:10:34 a. m. GMT,49,Mujer,Estudios universitarios,"Cuenta propia (autónomo, emprendedor)",Gerencia,Sí,1-5 personas
2020/06/16 3:53:33 a. m. GMT,36,Mujer,Estudios universitarios,Desempleado/a,Empleado,Sí,6-10 personas
2020/06/16 2:59:30 p. m. GMT,42,Hombre,Estudios universitarios,Funcionario/a,Empleado,Sí,1-5 personas
2020/06/16 3:37:05 p. m. GMT,36,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Puesto intermedio,No,
2020/06/16 10:24:20 p. m. GMT,34,Mujer,Estudios universitarios,Funcionario/a,Empleado,Sí,1-5 personas
2020/06/17 11:04:51 a. m. GMT,48,Mujer,Postgrado / Máster / Doctorado,Cuenta ajena,Empleado,No,
2020/06/17 12:37:00 p. m. GMT,32,Hombre,Estudios universitarios,Funcionario/a,Puesto intermedio,Sí,1-5 personas
2020/06/20 8:34:42 p. m. GMT,35,Mujer,Postgrado / Máster / Doctorado,Desempleado/a,Puesto directivo,Sí,6-10 personas
2020/06/23 8:18:06 a. m. GMT,50,Prefiero no decirlo,Bachiller / Secundaria,Cuenta ajena,Puesto intermedio,Sí,11-20 personas
